domain,orig_domain,tiny_ids
Alzheimer,alzheimer,myTnUFaa8
Alzheimer,alzheimer,XJgX4wtTaL
Alzheimer,alzheimer,hGK0CauSUwX
Alzheimer,alzheimer,fhv3_uf3OcY
Alzheimer,alzheimer,w8AG4WAXs
Alzheimer,alzheimer,EFNdeQNTHU2
Alzheimer,alzheimer,thcyjCeuZ
Alzheimer,alzheimer,DDj_SoGSDV2
Alzheimer,alzheimer,hZvxNqdA0No
Alzheimer,alzheimer,w4BeQYKeH
Alzheimer,alzheimer,7kWGVDKaaU
Alzheimer,alzheimer,XIV9QvyT3
Alzheimer,alzheimer,7Jx9_oGjE
Alzheimer,alzheimer,cKo6jsRVF
Alzheimer,alzheimer,m1W3h8tapU
Alzheimer,alzheimer,71k5OoGsN
Alzheimer,alzheimer,Xyo_YizsN
Alzheimer,alzheimer,tE7xfDS6wZ
Alzheimer,alzheimer,CdyBG9hvE
Alzheimer,alzheimer,mJEKBtpuQDH
Alzheimer,alzheimer,HAEBunVJ
Alzheimer,alzheimer,IeV6CAKH
Alzheimer,alzheimer,IxOnCTXE
Alzheimer,alzheimer,_3_v5Zm7
Alzheimer,alzheimer,2FbQdsg8C
Alzheimer,alzheimer,oviodTKK8
Alzheimer,alzheimer,e0dkp31t
Alzheimer,alzheimer,j63Z2hljd
Alzheimer,alzheimer,NX4G15mqb
Alzheimer,alzheimer,smU8UPZy0
Alzheimer,alzheimer,HH4jo5F78
Alzheimer,alzheimer,URr_Yf9_V
Alzheimer,alzheimer,UsfhTL7BC
Alzheimer,alzheimer,iFu3gg2_
Alzheimer,alzheimer,sq3j8lwei
Alzheimer,alzheimer,kFEY7z1x
Alzheimer,alzheimer,L6ot1fRw3
Alzheimer,alzheimer,DZmlXbIb
Alzheimer,alzheimer,QhQb8l9C_
Alzheimer,alzheimer,y2x4ltGIY
Alzheimer,alzheimer,B1YHKGtH
Alzheimer,alzheimer,SjoMhxVa3
Alzheimer,alzheimer,K_3ldoSGX
Alzheimer,alzheimer,g8tai6eN
Alzheimer,alzheimer,9SNx5hM39
Alzheimer,alzheimer,IOywAoQG
Alzheimer,alzheimer,PHiQ7FsK
Alzheimer,alzheimer,hbgYw7HPpXW
Alzheimer,alzheimer,QkiZKjMj4
Alzheimer,alzheimer,XylWOiMsV
Alzheimer,alzheimer,Qk6WtoGoE
Alzheimer,alzheimer,Qy8_OjzsN
Alzheimer,alzheimer,QkdE_izjV
Alzheimer,alzheimer,71NfFjfo4
Alzheimer,alzheimer,QywEdsGjE
Alzheimer,alzheimer,7y6ftsMoN
Alzheimer,alzheimer,QJqGKsMiV
Alzheimer,alzheimer,XksGtofs4
Alzheimer,alzheimer,XyAMOjGjN
Alzheimer,alzheimer,712Q_iGi4
Alzheimer,alzheimer,7yQVdjMsV
Alzheimer,alzheimer,QJTm_jfsV
Alzheimer,alzheimer,QkkV_sGoE
Alzheimer,alzheimer,mJfWuoMiE
Alzheimer,alzheimer,QyBZuofoN
Alzheimer,alzheimer,7JXXOjziE
Alzheimer,alzheimer,QJI7dsGiV
Alzheimer,alzheimer,QyEQdjfo4
Alzheimer,alzheimer,QyHrusfsV
Alzheimer,alzheimer,mkoE_jMo4
Alzheimer,alzheimer,X1xQ_jGsE
Alzheimer,alzheimer,Q1ZXdsGiN
Alzheimer,alzheimer,m14_FoGsV
Alzheimer,alzheimer,mylVtofoE
Alzheimer,alzheimer,XJtW_jGi4
Alzheimer,alzheimer,7yfMdozsV
Alzheimer,alzheimer,QyefOifiN
Alzheimer,alzheimer,7JkGdozjE
Alzheimer,alzheimer,myHMOoGi4
Alzheimer,alzheimer,mk0_OozjE
Alzheimer,alzheimer,Q1VGuoGoE
Alzheimer,alzheimer,7y2ZusMjN
Alzheimer,alzheimer,7yoZdozjN
Alzheimer,alzheimer,Q15XusMoV
Alzheimer,alzheimer,7yl4OofjN
Alzheimer,alzheimer,7yGV_jzs4
Alzheimer,alzheimer,7kTfuiGjE
Alzheimer,alzheimer,7yOruoGjE
Alzheimer,alzheimer,XJLrOoMsV
Alzheimer,alzheimer,7ymBuifjN
Alzheimer,alzheimer,mJ2eOoMsE
Alzheimer,alzheimer,mk6gdozsN
Alzheimer,alzheimer,7kkWdiMjE
Alzheimer,alzheimer,X1PXOiziE
Alzheimer,alzheimer,m1t7OjGoV
Alzheimer,alzheimer,XyrEFiGi4
Alzheimer,alzheimer,mksEtofsV
Alzheimer,alzheimer,mk_4Fjzo4
Alzheimer,alzheimer,Xyxmtjfj4
Alzheimer,alzheimer,mkBQKsziN
Alzheimer,alzheimer,Q1OGYiGsV
Alzheimer,alzheimer,7kDGtiMi4
Alzheimer,alzheimer,QywQYjMsV
Alzheimer,alzheimer,7kzNtiGoE
Alzheimer,alzheimer,XkmEtjMiE
Alzheimer,alzheimer,m1xHtoGj4
Alzheimer,alzheimer,XJ0NFiziN
Alzheimer,alzheimer,QkqEKoziN
Alzheimer,alzheimer,XJTEtsMjV
Alzheimer,alzheimer,Q1ZSFifoV
Alzheimer,alzheimer,XyI4FiMsN
Alzheimer,alzheimer,7k0fFoGsN
Alzheimer,alzheimer,QyrNOjzjV
Alzheimer,alzheimer,XJBsKsMi4
Alzheimer,alzheimer,Q1aotizi4
Alzheimer,alzheimer,7ywiKozsE
Alzheimer,alzheimer,QkjstoMsN
Alzheimer,alzheimer,QkkotjfsV
Alzheimer,alzheimer,XJRoFoMoE
Alzheimer,alzheimer,mkK9tsMsV
Alzheimer,alzheimer,mk39Fozj4
Alzheimer,alzheimer,XktttifoN
Alzheimer,alzheimer,XJZoYoMoE
Alzheimer,alzheimer,m1GjYszoV
Alzheimer,alzheimer,X1nttjfj4
Alzheimer,alzheimer,XyoKtszoE
Alzheimer,alzheimer,7yULFjfiE
Alzheimer,alzheimer,X1s99oGsE
Alzheimer,alzheimer,7kvqcjMsV
Alzheimer,alzheimer,71Sq5jfiV
Alzheimer,alzheimer,m19fusGs4
Alzheimer,alzheimer,71jMOofiE
Alzheimer,alzheimer,mks7FsGsE
Alzheimer,alzheimer,71D6YjMoE
Alzheimer,alzheimer,XkPLKoGo4
Alzheimer,alzheimer,7yfruizjN
Alzheimer,alzheimer,Q1yEtiGo4
Alzheimer,alzheimer,pWHE47GYPUa
Alzheimer,alzheimer,t4KS6j8lZq
Dementia,alzheimer-dementia,myTnUFaa8
Alzheimer,alzheimer-dementia,myTnUFaa8
Dementia,alzheimer-dementia,XJgX4wtTaL
Alzheimer,alzheimer-dementia,XJgX4wtTaL
Dementia,alzheimer-dementia,EFNdeQNTHU2
Alzheimer,alzheimer-dementia,EFNdeQNTHU2
Dementia,alzheimer-dementia,hGK0CauSUwX
Alzheimer,alzheimer-dementia,hGK0CauSUwX
Dementia,alzheimer-dementia,fhv3_uf3OcY
Alzheimer,alzheimer-dementia,fhv3_uf3OcY
Dementia,alzheimer-dementia,w8AG4WAXs
Alzheimer,alzheimer-dementia,w8AG4WAXs
Dementia,alzheimer-dementia,A1aof9n8_ME
Alzheimer,alzheimer-dementia,A1aof9n8_ME
Dementia,alzheimer-dementia,thcyjCeuZ
Alzheimer,alzheimer-dementia,thcyjCeuZ
Dementia,alzheimer-dementia,B0j4dGuPq6e
Alzheimer,alzheimer-dementia,B0j4dGuPq6e
Dementia,alzheimer-dementia,CdyBG9hvE
Alzheimer,alzheimer-dementia,CdyBG9hvE
Dementia,alzheimer-dementia,wz2TNMzA_RW
Alzheimer,alzheimer-dementia,wz2TNMzA_RW
Dementia,alzheimer-dementia,tE7xfDS6wZ
Alzheimer,alzheimer-dementia,tE7xfDS6wZ
Dementia,alzheimer-dementia,7kWGVDKaaU
Alzheimer,alzheimer-dementia,7kWGVDKaaU
Dementia,alzheimer-dementia,OgyaN2Eld
Alzheimer,alzheimer-dementia,OgyaN2Eld
Dementia,alzheimer-dementia,m1W3h8tapU
Alzheimer,alzheimer-dementia,m1W3h8tapU
Dementia,alzheimer-dementia,Xyo_YizsN
Alzheimer,alzheimer-dementia,Xyo_YizsN
Dementia,alzheimer-dementia,fQPmzEvpnuk
Alzheimer,alzheimer-dementia,fQPmzEvpnuk
Dementia,alzheimer-dementia,mcYM_pA3BY2
Alzheimer,alzheimer-dementia,mcYM_pA3BY2
Dementia,alzheimer-dementia,DDj_SoGSDV2
Alzheimer,alzheimer-dementia,DDj_SoGSDV2
